Tag;Temperatur;Sonnenminuten Wien März - Oktober 2024 und März Oktober 2025 (https://meteostat.net/de/place/at/vienna?s=11034&t=2019-01-01/2025-10-25)
1;11,1;32
2;9,7;90
3;11,8;450
4;12;565
5;11,1;131
6;8,7;346
7;6;22
8;5,5;109
9;7,9;160
10;12,1;247
11;11,2;20
12;8,3;0
13;10,7;288
14;11,4;350
15;12,6;280
16;14,1;164
17;10,6;318
18;7,9;410
19;5,6;594
20;8;566
21;11,8;305
22;14,5;112
23;12,9;284
24;7,7;340
25;8,8;409
26;11;606
27;14,2;335
28;13,2;288
29;14,3;567
30;18,2;377
31;18,7;422
32;17,5;294
33;12,1;388
34;14,2;409
35;15,9;245
36;18,2;300
37;21;372
38;20,9;662
39;22,2;572
40;20,8;571
41;12,7;27
42;14,8;537
43;17,6;676
44;20,7;624
45;21,8;578
46;18;107
47;10,3;8
48;9,7;328
49;8,1;302
50;8,2;303
51;7,7;125
52;6,6;435
53;6,6;159
54;5,7;7
55;7,2;11
56;9,1;417
57;10,9;653
58;14,2;733
59;18,2;669
60;19,8;637
61;20,6;739
62;18,5;442
63;18,7;438
64;15;5
65;17,1;507
66;19,9;608
67;20,2;512
68;16,3;102
69;14,3;10
70;16,7;672
71;17,3;608
72;18,1;480
73;18,1;476
74;17,2;554
75;18,2;727
76;18,9;680
77;17;207
78;15,2;44
79;16,5;335
80;19,3;510
81;20,4;506
82;19,6;75
83;18,7;235
84;19,9;498
85;18,2;206
86;18,1;422
87;19,2;293
88;21,2;541
89;18,7;407
90;18,9;558
91;19,2;447
92;17,2;40
93;16,6;286
94;18,7;299
95;18,8;162
96;18,1;238
97;20,8;693
98;23,1;454
99;23,1;553
100;23,7;579
101;22,6;229
102;19,7;498
103;18,4;206
104;14,5;422
105;16,7;293
106;18,1;541
107;20,8;407
108;20,5;558
109;23,1;447
110;25,9;40
111;27,1;286
112;24,5;299
113;26,8;162
114;23;238
115;22,7;693
116;23,3;454
117;23,3;553
118;24,4;579
119;23,5;229
120;26;394
121;28,2;419
122;27,8;613
123;21,9;119
124;20,6;437
125;19,6;185
126;19,7;394
127;22,9;419
128;25,9;613
129;22,4;119
130;22,8;265
131;27,2;590
132;29,7;500
133;27,4;469
134;26,8;427
135;23,8;437
136;25;519
137;27,7;672
138;28;622
139;25,9;498
140;25,9;680
141;26,6;668
142;24,3;107
143;26,5;775
144;25,1;444
145;25,2;438
146;23,5;463
147;22,9;578
148;24,1;647
149;27,2;668
150;25,9;359
151;23,7;669
152;23,8;819
153;26;784
154;27,2;376
155;24,7;356
156;22,6;510
157;22,3;253
158;21,4;59
159;21,8;777
160;24,4;605
161;24,5;324
162;24,5;563
163;27,1;552
164;28,3;750
165;28;650
166;28,4;560
167;28,6;607
168;28,9;704
169;28,5;608
170;26,1;352
171;25,4;483
172;22,4;248
173;23,7;406
174;23,5;263
175;22,1;506
176;24,4;739
177;27;749
178;26,2;528
179;21,4;341
180;22,6;475
181;25,7;655
182;26,3;606
183;25,3;562
184;23,2;501
185;22;491
186;21,7;543
187;21,4;504
188;27,3;618
189;26,6;604
190;23,7;308
191;25,1;609
192;25,7;618
193;19,7;0
194;18,9;392
195;19,7;492
196;12,9;0
197;8;0
198;9,2;6
199;10,1;1
200;11,5;1
201;14,8;338
202;18,8;529
203;18,2;558
204;17,8;490
205;17,4;651
206;18,7;671
207;18,1;516
208;17,1;74
209;17,8;364
210;18,9;190
211;18,4;11
212;15,3;50
213;12,3;327
214;10,8;444
215;12,7;235
216;12,3;10
217;13;52
218;11;0
219;11,4;33
220;12,2;195
221;11,5;272
222;15,7;166
223;17,5;218
224;14,8;23
225;14,6;285
226;11,5;434
227;12,4;85
228;12,3;384
229;12,7;318
230;11,6;369
231;12;134
232;13,4;312
233;13;212
234;12,3;459
235;11,7;443
236;11,9;160
237;12,5;5
238;13,1;134
239;14,2;211
240;13,3;8
241;8,3;0
242;7,9;2
243;7,5;127
244;6,3;260
245;6,1;393
246;6,6;466
247;7,3;439
248;8,1;492
249;11,5;513
250;12,6;506
251;13,1;384
252;14,3;409
253;12,9;253
254;12;169
255;11,9;168
256;9,8;20
257;6,9;0
258;6;1
259;6,6;121
260;6,6;198
261;4,3;343
262;6;481
263;8,1;463
264;9,5;443
265;10,2;181
266;13,6;175
267;12,8;102
268;12,8;195
269;12,8;241
270;10,9;213
271;9,5;104
272;10;0
273;11;124
274;8,3;68
275;9;12
276;10,8;58
277;13,7;549
278;14,5;573
279;13,2;381
280;4;230
281;5,4;79
282;8,9;101
283;9,6;335
284;10,6;164
285;13,6;405
286;14,9;478
287;15,2;214
288;16,4;402
289;16,1;34
290;18,8;420
291;19,9;348
292;16,4;151
293;15,2;329
294;16,4;454
295;16,9;360
296;18;425
297;19,1;357
298;15,8;152
299;12,1;0
300;13;110
301;13,1;597
302;16;576
303;17,9;595
304;19;541
305;19,6;583
306;20,8;614
307;21,6;335
308;17,6;55
309;10,9;0
310;10,1;12
311;12,9;262
312;11,6;2
313;11,7;284
314;13,4;631
315;14;373
316;13,8;511
317;14,4;562
318;16,3;545
319;15,4;107
320;11,2;159
321;12,3;161
322;12,7;51
323;14,2;65
324;16,8;412
325;17,9;313
326;15,3;15
327;12,9;112
328;14,2;359
329;14,3;285
330;17,2;197
331;18,2;453
332;17,9;95
333;15,9;225
334;18,3;103
335;22,6;563
336;23,4;347
